,BibliographyID,Language,Addressed problem,Publication,Problem concise,rq1_data_broad_source,rq1_project_name,rq1_repository_name,rq1_benchmark_name,Granularity,rq1_broad_type,rq1_sub_type,L1_repr,L2_repr,rq2_embedding,rq2_embedding_broad_cat,Vulnerability types (RQ4),Tools,broad_category,model_family,RQ3,Detection granularity (RQ5),Interpretable (RQ7),Abstract,,Further explanation
,liu2021combining,Solidity,"First, existing methods heavily rely on several expert-defined hard rules (or patterns) to detect smart contract vulnerability. Second, since the rules are contributed by a few ‘centralized’ experts who develop the detection tools, their scalability is inherently limited",Combining Graph Neural Networks with Expert Knowledge for Smart Contract Vulnerability Detection,Rely on expert rules,Benchmark,N.A,N.A,"ESC, VSC",Contract Graph,Code,Source code,Graph,N.A,Graph embedding,Graph embedding,N.A,Keras/TensorFlow,DL,GNN,GCN,Binary,No,"Smart contract vulnerability detection draws extensive attention in recent years due to the substantial losses caused by hacker attacks. Existing efforts for contract security analysis heavily rely on rigid rules defined by experts, which are labor-intensive and non-scalable. More importantly, expert-defined rules tend to be error-prone and suffer the inherent risk of being cheated by crafty attackers. Recent researches focus on the symbolic execution and formal analysis of smart contracts for vulnerability detection, yet to achieve a precise and scalable solution. Although several methods have been proposed to detect vulnerabilities in smart contracts, there is still a lack of effort that considers combining expert-defined security patterns with deep neural networks. In this paper, we explore using graph neural networks and expert knowledge for smart contract vulnerability detection. Specifically, we cast the rich control- and data- flow semantics of the source code into a contract graph. To highlight the critical nodes in the graph, we further design
a node elimination phase to normalize the graph. Then, we propose a novel temporal message propagation network to extract the graph feature from the normalized graph, and combine the graph feature with designed expert patterns to yield a final detection system. Extensive experiments are conducted on all the smart contracts that have source code in Ethereum and VNT Chain platforms. Empirical results show significant accuracy improvements over the state-of-the-art methods on three types of vulnerabilities, where the detection accuracy of our method reaches 89.15, 89.02, and 83.21 percent for reentrancy, timestamp dependence, and infinite loop vulnerabilities, respectively.",,
,phan2017convolutional,C/C++,"Capture deep hidden semantic information from programs, lack of considering execution flow of programs",Convolutional neural networks over control flow graphs for software defect prediction,Semantic,Open Source Projects,"FLOW016, MNMX, SUBINC, SUMTRIAN",N.A,N.A,CFG,Code,Binary code,Graph,N.A,Graph embedding,Graph embedding,N.A,"Pycparser, RSM tool",DL,GNN,DGCNN,Multi label,No,"Existing defects in software components is unavoidable and leads to not only a waste of time and money but also many serious consequences. To build predictive models, previous studies focus on manually extracting features or using tree representations of programs, and exploiting different machine learning algorithms. However, the performance of the models is not high since the existing features and tree structures often fail to capture the semantics of programs. To explore deeply programs’ semantics, this paper proposes to leverage precise graphs representing program execution flows, and deep neural networks for automatically learning defect features. Firstly, control flow graphs are constructed from the assembly instructions obtained by compiling source code; we thereafter apply multi-view multi-layer directed graph-based convolutional neural networks (DGCNNs) to learn semantic features. The experiments on four real-world datasets show that our method significantly outperforms the baselines including several other deep learning approaches.",,https://docs.google.com/document/d/1FDh9oz0s5dqq_fMEFI6vmcXtuWwg_Jah6Io7wRwcodA/edit?usp=sharing
,nguyen2020deep,C/C++,Binary vulnerability detection,Deep cost sensitive kernel machine for binary software vulnerability detection,Others,Hybrid,"FFmpeg, LibTIFF, LibPNG, VLC, Pidgin, Asterisk",N.A,NDSS,Tokenization,Code,Binary code,Token,N.A,One hot embedding,Others,"CWE-119, CWE399","Keras/TensorFlow, objdump, Capstone",ML,N.A,Kernel Machines,Binary,No,"Owing to the sharp rise in the severity of the threats imposed by software vulnerabilities, software vulnerability detection has become an important concern in the software industry, such as the embedded systems industry, and in the field of computer security. Software vulnerability detection can be carried out at the source code or binary level. However, the latter is more impactful and practical since when using commercial software, we usually only possess binary software. In this paper, we leverage deep learning and kernel methods to propose the Deep Cost-sensitive Kernel Machine, a method that inherits the advantages of deep learning methods in efficiently tackling structural data and kernel methods in learning the characteristic of vulnerable binary examples with high generalization capacity. We conduct experiments on two real-world binary datasets. The experimental results have shown a convincing outperformance of our proposed method over the baselines.",,
,liu2019deepbalance,C/C++,Class imbalance problem,DeepBalance: Deep-learning and fuzzy oversampling for vulnerability detection,Class imbalance problem,Hybrid,"LibTIFF, LibPNG, FFmpeg","GitHub, CVE",NVD,AST,Code,Source code,Tree,N.A,Word2vec,Token vector embedding,N.A,CodeSensor,Hybrid,Hybrid,"LSTM, Random Forest",Binary,No,"Software vulnerability has long been an important but critical research issue in cybersecurity. Recently, the machine learning (ML)-based approach has attracted increasing interest in the research of software vulnerability detection. However, the detection performance of existing ML-based methods require further improvement. There are two challenges: one is code representation for ML and the other is class imbalance between vulnerable code and nonvulnerable code. To overcome these challenges, this article develops a DeepBalance system, which combines the new ideas of deep code representation learning and fuzzy-based class rebalancing. We design a deep neural network with bidirectional long short-term memory to learn invariant and discriminative code representations from labeled vulnerable and nonvulnerable code. Then, a new fuzzy oversampling method is employed to rebalance the training data by generating synthetic samples for the class of vulnerable code. To evaluate the performance of the new system, we carry out a series of experiments in a real-world ground-truth dataset that consists of the code from the projects of LibTIFF, LibPNG, and FFmpeg. The results show that the proposed new system can significantly improve the vulnerability detection performance. For example, the improvement is 15% in terms of F-measure.",,https://docs.google.com/document/d/1y50PBGAwhOGNA9x_vJL7S9ZRGcMDOVMjFgMU0FdSw5Q/edit?usp=sharing
,pradel2018deepbugs,Java script,"Natural language elements in source code, e.gThe names of variables and functions, convey useful information. However, most existing bug detection tools ignore this information and therefore miss some classes of bugs. The few existing name-based bug detection approaches reason about names on a syntactic level and rely on manually designed and tuned algorithms to detect bugs.",DeepBugs a learning approach to name based bug detection,Consider different code fragments,Repository,N.A,GitHub,N.A,Tokenization,Code,Source code,Token,N.A,Word2vec,Token vector embedding,"Swapped arguments, Wrong binary operator, Wrong binary operand ","Keras/TensorFlow, Acorn JavaScript parser",DL,DNN,Feed Forward,Binary,No,"Natural language elements in source code, e.g., the names of variables and functions, convey useful information. However, most existing bug detection tools ignore this information and therefore miss some classes of bugs. The few existing name-based bug detection approaches reason about names on a syntactic level and rely on manually designed and tuned algorithms to detect bugs. This paper presents DeepBugs, a learning approach to name-based bug detection, which reasons about names based on a semantic representation and which automatically learns bug detectors instead of manually writing them. We formulate bug detection as a binary classification problem and train a classifier that distinguishes correct from incorrect code. To address the challenge that effectively learning a bug detector requires examples of both correct and incorrect code, we create likely incorrect code examples from an existing corpus of code through simple code transformations. A novel insight learned from our work is that learning from artificially seeded bugs yields bug detectors that are effective at finding bugs in real-world code. We implement our idea into a framework for learning-based and name-based bug detection. Three bug detectors built on top of the framework detect accidentally swapped function arguments, incorrect binary operators, and incorrect operands in binary operations. Applying the approach to a corpus of 150,000 JavaScript files yields bug detectors that have a high accuracy (between 89% and 95%), are very efficient (less than 20 milliseconds per analyzed file), and reveal 102 programming mistakes (with 68% true positive rate) in real-world code.",,https://docs.google.com/document/d/1Sia7xN0MF_bf7iz-K7F1DsSXJocMCeW2uBrfNDIkXyU/edit?usp=sharing
,le2021deepcva,Java,"However, there is a lack of effort to assess vulnerability-contributing commits right after they are detected to provide timely information about the exploitability, impact and severity of SVs",DeepCVA: Automated Commit-level Vulnerability Assessment with Deep Multi-task Learning,"However, there is a lack of effort to assess vulnerability-contributing commits right after they are detected to provide timely information about the exploitability, impact and severity of SVs",Hybrid,N.A,GitHub,"NVD, VulasDB",Tokenization,Code,Source code,Token,N.A,N-gram features,Others,N.A,"NLTK, PorterStemmer",DL,Hybrid,"GRU, CNN",Multi label,No,"It is increasingly suggested to identify Software Vulnerabilities (SVs) in code commits to give early warnings about potential security risks. However, there is a lack of effort to assess vulnerability-contributing commits right after they are detected to provide timely information about the exploitability, impact and severity of SVs. Such information is important to plan and prioritize the mitigation for the identified SVs. We propose a novel Deep multi-task learning model, DeepCVA, to automate seven Commit-level Vulnerability Assessment tasks simultaneously based on Common Vulnerability Scoring System (CVSS) metrics. We conduct large-scale experiments on 1,229 vulnerability-contributing commits containing 542 different SVs in 246 real-world software projects to evaluate the effectiveness and efficiency of our model. We show that DeepCVA is the best-performing model with 38% to 59.8% higher Matthews Correlation Coefficient than many supervised and unsupervised baseline models. DeepCVA also requires 6.3 times less training and validation time than seven cumulative assessment models, leading to significantly less model maintenance cost as well. Overall, DeepCVA presents the first effective and efficient solution to automatically assess SVs early in software systems.",,
,hoang2019deepjit,N.A,"Metric-based features however do not represent the semantic and syntactic structure of the actual code changes. In many cases, two different code changes which have exactly the same metrics (e.g. the number of lines deleted and added) may generate different behaviour when executed, and thus have a different likelihood of defectiveness",DeepJIT: An End-To-End Deep LearningFramework for Just-In-Time Defect Prediction,Semantic,Open Source Projects,"QT, OpenStack",N.A,N.A,"Textual, code change",Hybrid,Hybrid,Token,N.A,CNN,Token vector embedding,N.A,NLTK,DL,CNN,CNN,Binary,No,"Software quality assurance efforts often focus on identifying defective code. To find likely defective code early, change-level defect prediction - aka. Just-In-Time (JIT) defect prediction - has been proposed. JIT defect prediction models identify likely defective changes and they are trained using machine learning techniques with the assumption that historical changes are similar to future ones. Most existing JIT defect prediction approaches make use of manually engineered features. Unlike those approaches, in this paper, we propose an end-to-end deep learning framework, named DeepJIT, that automatically extracts features from commit messages and code changes and use them to identify defects. Experiments on two popular software projects (i.e., QT and OPENSTACK) on three evaluation settings (i.e., cross-validation, short-period, and long-period) show that the best variant of DeepJIT (DeepJIT-Combined), compared with the best performing state-of-the-art approach, achieves improvements of 10.36-11.02% for the project QT and 9.51-13.69% for the project OPENSTACK in terms of the Area Under the Curve (AUC).",,
,cheng2021deepwukong,C/C++,"low-level memory error, shallow code features (code tokens and ASTs), lack of considering comprehensive code features (data and control dependencies), coarse grained prediction granularities such as function or file level, ",DeepWukong: Statically Detecting Software Vulnerabilities Using Deep Graph Neural Network,Semantic,Hybrid,"Lua, redis",GitHub,SARD,XFG,Code,Source code,Graph,N.A,"doc2vec, GCN, GAT, k-GNNS",Graph embedding,"CWE-119, CWE-20, CWE-125, CWE-190, CWE-22 CWE-99, CWE-787, CWE-254, CWE-400, CWE-78","PyTorch, mongrel2",DL,GNN,"GCN, GAT, GNN",Binary,No,"Static bug detection has shown its effectiveness in detecting well-defined memory errors, e.g., memory leaks, buffer overflows, and null dereference. However, modern software systems have a wide variety of vulnerabilities. These vulnerabilities are extremely complicated with sophisticated programming logic, and these bugs are often caused by different bad programming practices, challenging existing bug detection solutions. It is hard and labor-intensive to develop precise and efficient static analysis solutions for different types of vulnerabilities, particularly for those that may not have a clear specification as the traditional well-defined vulnerabilities. This article presents DeepWukong, a new deep-learning-based embedding approach to static detection of software vulnerabilities for C/C++ programs. Our approach makes a new attempt by leveraging advanced recent graph neural networks to embed code fragments in a compact and low-dimensional representation, producing a new code representation that preserves high-level programming logic (in the form of control- and data-flows) together with the natural language information of a program. Our evaluation studies the top 10 most common C/C++ vulnerabilities during the past 3 years. We have conducted our experiments using 105,428 real-world programs by comparing our approach with four well-known traditional static vulnerability detectors and three state-of-the-art deep-learning-based approaches. The experimental results demonstrate the effectiveness of our research and have shed light on the promising direction of combining program analysis with deep learning techniques to address the general static code analysis challenges.",,https://docs.google.com/document/d/1bfljfG13bDunyBYdCOS9eL_h8iuasmTNL3h3douI00c/edit?usp=sharing
,zhou2019devign,C/C++,"learning comprehensive program semantics to characterize vulnerabilities of high diversity and complexity in real source code, treat the source code as a flat sequence, labeling part of data by static analyzers, training vulnerability detection models using ariticial codes which is far from real world projects",Devign Effective vulnerability identification by learning comprehensive program semantics via graph neural networks,Semantic,Open Source Projects,"Linux Kernel, QEMU, Wireshark, FFmpeg",N.A,N.A,XPG,Code,Source code,Graph,N.A,Word2vec,Graph embedding,N.A,"Joern, PyTorch, GenSim",DL,GNN,GNN,Binary,No,"Vulnerability identification is crucial to protect the software systems from attacks for cyber security. It is especially important to localize the vulnerable functions among the source code to facilitate the fix. However, it is a challenging and tedious process, and also requires specialized security expertise. Inspired by the work on manually-defined patterns of vulnerabilities from various code representation graphs and the recent advance on graph neural networks, we propose Devign, a general graph neural network based model for graph-level classification through learning on a rich set of code semantic representations. It includes a novel Conv module to efficiently extract useful features in the learned rich node representations for graph-level classification. The model is trained over manually labeled datasets built on 4 diversified large-scale open-source C projects that incorporate high complexity and variety of real source code instead of synthesis code used in previous works. The results of the extensive evaluation on the datasets demonstrate that Devign outperforms the state of the arts significantly with an average of 10.51% higher accuracy and 8.68% F1 score, increases averagely 4.66% accuracy and 6.37% F1 by the Conv module.",,https://docs.google.com/document/d/1HlJdL768f0jBf3uUcpp2REHqqBJwSKvh_3Rdlpn3uAo/edit?usp=sharing
,kronjee2018discovering,php,"An obvious limitation is that only the vulnerabilities covered by the rule set can be discovered. The first static analysis tools appeared early 2000 (such as Flawfinder, ITS4, and RATS). ",Discovering software vulnerabilities using data flow analysis and machine learning,High false positive of static analyzers,Benchmark,N.A,N.A,"NVD, SAMATE",CFG,Code,Source code,Graph,N.A,CFG integer mapping,Others,"CWE-79, CWE-89","scikit-learn, Weka, xgboost",ML,N.A,"Decision tree, Random Forest, Logistic Regression, Naive Bayes, TAN",Binary,No,"We present a novel method for static analysis in which we combine data-flow analysis with machine learning to detect SQL injection (SQLi) and Cross-Site Scripting (XSS) vulnerabilities in PHP applications. We assembled a dataset from the National Vulnerability Database and the SAMATE project, containing vulnerable PHP code samples and their patched versions in which the vulnerability is solved. We extracted features from the code samples by applying data-flow analysis techniques, including reaching definitions analysis, taint analysis, and reaching constants analysis. We used these features in machine learning to train various probabilistic classifiers. To demonstrate the effectiveness of our approach, we built a tool called WIRECAML, and compared our tool to other tools for vulnerability detection in PHP code. Our tool performed best for detecting both SQLi and XSS vulnerabilities. We also tried our approach on a number of open-source software applications, and found a previously unknown vulnerability in a photo-sharing web application.",,https://docs.google.com/document/d/1lVTHmhp_ghJrJOZUuhTqR64JaEgdX3Aa-AhzDfniQWE/edit?usp=sharing
,3172102,N.A,"Previous deep learning approaches are limited at comprehending how data values are transferred and used within source codes. In order to achieve this, the knowledge in the entire source code is needed. Also one needs to track  the data values stored in different variables and methods. Another major limitation of existing deep learning models is not being able to keep track of how values are changed. This restriction greatly limits their usefulness in program analysis since run-time bugs and errors are usually much more difficult to detect and thus are often treated with greater importance.",End-to-end prediction of buffer overruns from raw source code via neural memory networks,Support Flow Analysis,Benchmark,N.A,N.A,Juliet Test Suit,Tokenization,Code,Source code,Token,N.A,One hot embedding,Others,CWE-122,Keras/TensorFlow,DL,DNN,Memory Neural Networks,N.A,N.A,"Detecting buffer overruns from a source code is one of the most common and yet challenging tasks in program analysis. Current approaches based on rigid rules and handcrafted features are limited in terms of flexible applicability and robustness due to diverse bug patterns and characteristics existing in sophisticated real-world software programs. In this paper, we propose a novel, data-driven approach that is completely end-to-end without requiring any hand-crafted features, thus free from any program language-specific structural limitations. In particular, our approach leverages a recently proposed neural network model called memory networks that have shown the state-of-the-art performances mainly in question-answering tasks. Our experimental results using source code samples demonstrate that our proposed model is capable of accurately detecting different types of buffer overruns. We also present in-depth analyses on how a memory network can learn to understand the semantics in programming languages solely from raw source codes, such as tracing variables of interest, identifying numerical values, and performing their quantitative comparisons.",,https://docs.google.com/document/d/1NMlwdS1m0mwekZk9VZUUJzQNptZ1-XgRgbl_R8P3nsg/edit?usp=sharing
,pascarella2019fine,*,"Existing commit level defect prediction approaches are too coarse grained, meaning that they merely classify whether files in a commit are defective or not. However, developers often need to know which parts of files are defective.",Fine grained just in time defect prediction,Granularity,Hybrid,"Accumulo, Angular-js, Gerrit, Gimp, Hadoop, JDeodorant, Jetty, JRuby, OpenJPA","GitHub, Bugzilla",N.A,Commit Metrics,Numerical,Commit Metrics,Commit Metrics,N.A,commit metrics,Others,N.A,"Keras/TensorFlow, NLTK, SZZ",ML,N.A,"Logistic Regression, ADTree, Naive Bayes, Random Forest",Binary,No,"Defect prediction models focus on identifying defect-prone code elements, for example to allow practitioners to allocate testing resources on specific subsystems and to provide assistance during code reviews. While the research community has been highly active in proposing metrics and methods to predict defects on long-term periods (i.e.,at release time), a recent trend is represented by the so-called short-term defect prediction (i.e.,at commit-level). Indeed, this strategy represents an effective alternative in terms of effort required to inspect files likely affected by defects. Nevertheless, the granularity considered by such models might be still too coarse. Indeed, existing commit-level models highlight an entire commit as defective even in cases where only specific files actually contain defects. In this paper, we first investigate to what extent commits are partially defective; then, we propose a novel fine-grained just-in-time defect prediction model to predict the specific files, contained in a commit, that are defective. Finally, we evaluate our model in terms of (i) performance and (ii) the extent to which it decreases the effort required to diagnose a defect. Our study highlights that: (1) defective commits are frequently composed of a mixture of defective and non-defective files, (2) our fine-grained model can accurately predict defective files with an AUC-ROC up to 82% and (3) our model would allow practitioners to save inspection efforts with respect to standard just-in-time techniques.",,https://docs.google.com/document/d/1z5rZqRV7uPQ__qrN_hC6dPMhxdrZq30uV-I9oqi8WrA/edit?usp=sharing
,zeng2021gcn2defect,Java,Static code attributes are ignoring the context information may have a fatal impact on understanding the program,GCN2defect Graph Convolutional Networks for SMOTETomek-based Software Defect Prediction,High false positive of static analyzers,Hybrid,"Ant, Camel, Ivy, jEdit, Lucene, Poi, Velocity, Xalan",N.A,PROMISE,CDN over files,Code,Source code,Graph,N.A,"node2vec, GCN",Graph embedding,N.A,N.A,DL,GNN,GCN,Binary,No,"With the introduction of network metrics into the field of software defect prediction, the dependency network of software modules is widely used. The network embedding models aim to represent nodes as low-dimensional vectors, thereby preserving the topological structure of the network. However, in software engineering, traditional network embedding models do not concern deep learning strategies, while recently, graph neural networks (GNNs) have been proved to be an effective deep learning framework for learning graph data. As a variant of GNN, graph convolution neural network (GCN) has achieved appealing results in node classification and link prediction. Inspired by the performance of GCN, we propose GCN2defect, which extends GCN to automatically learn to encode the software dependency network and ultimately improve software defect prediction. Specifically, we firstly construct a program's Class Dependency Network, and then use node2vec for embedded learning to obtain the structural features of the network automatically. After that, we combine the learned structural features with traditional software code features to initialize the attributes of nodes in the Class Dependency Network. Next, we feed the dependency network to GCN to get much deeper representation of the class. Meanwhile, to enhance the accuracy of prediction, we also employ the SMOTETomek sampling to solve the problem of data imbalance. Finally, we evaluate the proposed method on eight open-source programs and demonstrate that, on average, GCN2defect improves the state-of-the-art approach by 6.84% ~ 23.85% in terms of the F-measure.",,
,yan2021han,C/C++,"Existing binary vulnerability detection approaches do not consider the context between an instruction’s elements (opcode, registers, etc.) during embedding to vector representation. Also, the crucial regions that are related to vulnerability are not highlighted when extracting features of the vulnerable code.",HAN BSVD A hierarchical attention network for binary software vulnerability detection,Context modeling,Benchmark,N.A,N.A,"Juliet Test Suit, ICLR2019",Tokenization,Code,Binary code,Token,N.A,"Word2vec, Bi-GRU",Token vector embedding,"CWE-121, CWE-119, CWE399","IDA Pro, Keras/TensorFlow",DL,Hybrid,"BGRU, TextCNN",Binary,No,"Deep learning has shown effectiveness in binary software vulnerability detection due to its outstanding feature extraction capability independent of human expert experience. However, detection approaches such as Instruction2vec still have the following defects: (1) the context between an instruction’s elements (opcode, registers, etc.) is not fully incorporated when embedding a single instruction into its vector representation; (2) the crucial regions that related to vulnerability are not highlighted when extracting features of the vulnerable code. In this paper, we propose a hierarchical attention network for binary software vulnerability detection (HAN-BSVD). Through HAN-BSVD, the contextual information is first enriched by the preprocessor with unifying jump address and normalizing instruction, and then preserved by the instruction embedding network that composed of Bi-GRU and word-attention module; the local features are captured and the crucial regions are highlighted by the feature extraction network that composed of Text-CNN and spatial-attention module. The proposed approach is evaluated on the Juliet Test Suite dataset and the ICLR19 dataset, detection result performs better than the other compared approaches. Extensive ablation studies are also conducted to further prove the effectiveness of each design choice.",,https://docs.google.com/document/d/1l7M3dO_inl6GbMtAZt4hyfcwJ1DtiblgX5nhTfCuxVY/edit?usp=sharing
,dinella2020hoppity,JavaScript,"Pinpointing and fixing complex bugs  (i.e. bugs that require adding or deleting statements to fix) Effective against a broad spectrum of programming errors, such as using wrong operators or identifiers, accessing undefined properties, mishandling variable scopes, triggering type incompatibilities, among many others.  Addressed bug detection of JS programs which is hard to detect because of its diverse and complicated nature and lack of tooling to support such operation.",Hoppity Learning graph transformations to detect and fix bugs in programs,Granularity,Repository,N.A,GitHub,N.A,AST,Code,Source code,Tree,N.A,GNN,Graph embedding,N.A,"PyTorch, shift-ast, fast-json-patch",DL,Hybrid,"GNN, LSTM",Fine grained interpretations,Yes,"We present a learning-based approach to detect and fix a broad range of bugs in Javascript programs. We frame the problem in terms of learning a sequence of graph transformations: given a buggy program modeled by a graph structure, our model makes a sequence of predictions including the position of bug nodes and corresponding graph edits to produce a fix. Unlike previous works built upon deep neural networks, our approach targets bugs that are more diverse and complex in nature (i.e. bugs that require adding or deleting statements to fix). We have realized our approach in a tool called HOPPITY. By training on 290,715 Javascript code change commits on Github, HOPPITY correctly detects and fixes bugs in 9,490 out of 36,361 programs in an end-to-end fashion. Given the bug location and type of
 he fix, HOPPITY also outperforms the baseline approach by a wide margin.",,https://docs.google.com/document/d/11-P6PjbuoU-zIjY-5mVTd68mgUAI_d2eQn_9M_6lGNc/edit?usp=sharing
,huang2021hunting,Solidity,"However, the rapid evolution of Solidity compilers has led to dozens of compiler versions and different versions may generate different bytecode even for the same source code pieces. The diversity of bytecode generation can impede bytecode matching. Second, a vulnerability generally involves very few statements but vulnerable smart contracts, either the seeds or targets, usually contain many statements that are irrelevant to the vulnerabilities",Hunting Vulnerable Smart Contracts via Graph Embedding Based Bytecode Matching,Irrelevant code fragments,Repository,N.A,"Etherscan, CVE",N.A,CFG,Code,Binary code,Graph,N.A,graph2vec,Graph embedding,"CWE-190, Reenterancy, Bad randomness, unprotected ownership, mishandled exceptions",Mist,Others,Others,Similarity Measure,similarity,No,"Smart contract vulnerabilities have attracted lots of concerns due to the resultant financial losses. Matching-based detection methods extrapolating known vulnerabilities to unknown have proven to be effective in other platforms. However, directly adopting the technique to smart contracts is obstructed by two issues, i.e., diversity of bytecode generation resulting from the rapid evolution of compilers and interference of noise code easily caused by the homogeneous business logics. To address the problems, we propose contract bytecode-oriented normalization and slicing techniques to augment bytecode matching. Specifically, we conduct data- and instruction-level normalizations to uniform the bytecode generated by different compilers, and enforce contract-specific slicing by tracking data- and control-flows with simulated bytecode executions to prune the noise code as far as possible. Based on the above techniques, we design an unsupervised graph embedding algorithm to encode the code graphs into quantitatively comparable vectors. The potentially vulnerable smart contracts can be identified by measuring the similarities between their vectors and known vulnerable ones. Our evaluations have shown the efficiency (0.47 seconds per contract on average), effectiveness (160 verified true positives) and high precision (91.95% for top-ranked). It is worth noting that, we also identify dozens of honeypot contracts, further demonstrating the capability of our method.",,
,3360588,Java,"Mining-based approaches still have a key limitation in a very high false positive rate due to the fact that it cannot distinguish the cases of incorrect code versus infrequent/rare code. The deep learning-based approaches are still limited to detect bugs in individual methods without investigating the dependencies among different yet relevant methods. In practice, there exist several cases that bugs occur across more than one method. That is, to decide whether a given method is buggy or not, a model needs to consider other methods that have data and/or control dependencies with the method under investigation",Improving bug detection via context based code representation learning and attention based neural networks,High false positive of static analyzers,Hybrid,"pig, avro, lucene-solr, hbase, flink, hive, cloudstack, camel",GitHub,N.A,"AST, CFG, PDG over functions",Code,Source code,Graph,N.A,"Node2vec, Word2vec, attention GRU",Token vector embedding,Bug detection,"Soot, Wala, JDT",DL,Hybrid,"GRU, CNN",Binary,No,"Bug detection has been shown to be an effective way to help developers in detecting bugs early, thus, saving much effort and time in software development process. Recently, deep learning-based bug detection approaches have gained successes over the traditional machine learning-based approaches, the rule-based program analysis approaches, and mining-based approaches. However, they are still limited in detecting bugs that involve multiple methods and suffer high rate of false positives. In this paper, we propose a combination approach with the use of contexts and attention neural network to overcome those limitations. We propose to use as the global context the Program Dependence Graph (PDG) and Data Flow Graph (DFG) to connect the method under investigation with the other relevant methods that might contribute to the buggy code. The global context is complemented by the local context extracted from the path on the AST built from the method’s body. The use of PDG and DFG enables our model to reduce the false positive rate, while to complement for the potential reduction in recall, we make use of the attention neural network mechanism to put more weights on the buggy paths in the source code. That is, the paths that are similar to the buggy paths will be ranked higher, thus, improving the recall of our model. We have conducted several experiments to evaluate our approach on a very large dataset with +4.973M methods in 92 different project versions. The results show that our tool can have a relative improvement up to 160% on F-score when comparing with the state-of-the-art bug detection approaches. Our tool can detect 48 true bugs in the list of top 100 reported bugs, which is 24 more true bugs when comparing with the baseline approaches. We also reported that our representation is better suitable for bug detection and relatively improves over the other representations up to 206% in accuracy.",,https://docs.google.com/document/d/1ozKkjaJjIVRdbJ-2_cTc_MQK6gaJZZNitvcNQScIp5U/edit
,3429444,C/C++,The framework is centered at identifying a small number of tokens that make important contributions to a particular prediction.,Interpreting deep learning based vulnerability detector predictions based on heuristic searching,Consider different code fragments,Benchmark,N.A,N.A,"SySeVR, VulDeePecker","XFG, functions",Code,Source code,Token,N.A,Word2vec,Token vector embedding,"CWE-680, CWE-789, CWE-189, CWE-761",Keras/TensorFlow,DL,Hybrid,"BGRU, BiLSTM, CNN",Binary,yes,"Detecting software vulnerabilities is an important problem and a recent development in tackling the problem is the use of deep learning models to detect software vulnerabilities. While effective, it is hard to explain why a deep learning model predicts a piece of code as vulnerable or not because of the black-box nature of deep learning models. Indeed, the interpretability of deep learning models is a daunting open problem. In this article, we make a significant step toward tackling the interpretability of deep learning model in vulnerability detection. Specifically, we introduce a high-fidelity explanation framework, which aims to identify a small number of tokens that make significant contributions to a detector’s prediction with respect to an example. Systematic experiments show that the framework indeed has a higher fidelity than existing methods, especially when features are not independent of each other (which often occurs in the real world). In particular, the framework can produce some vulnerability rules that can be understood by domain experts for accepting a detector’s outputs (i.e., true positives) or rejecting a detector’s outputs (i.e., false-positives and false-negatives). We also discuss limitations of the present study, which indicate interesting open problems for future research.",,https://docs.google.com/document/d/1_8CdioLGKq_XzAQaDj1nye1shZFzcJF1a3Vy-qlZc6U/edit?usp=sharing
,hin2022linevd,Java,How can we leverage the common attributes of assessment tasks to perform effective and efficient commit-level SV assessment,LineVD: Statement-level Vulnerability Detection using Graph Neural Networks,Commits,Hybrid,N.A,GitHub,NVD,code change,Code,Source code,Token,N.A,codeBERT,Token vector embedding,N.A,"PyTorch, GenSim, NLTK, scikit-learn, spacy, torchtext",DL,RNN,GRU,Multi label,No,"Current machine-learning based software vulnerability detection methods are primarily conducted at the function-level. However, a key limitation of these methods is that they do not indicate the specific lines of code contributing to vulnerabilities. This limits the ability of developers to efficiently inspect and interpret the predictions from a learnt model, which is crucial for integrating machine-learning based tools into the software development work-flow. Graph-based models have shown promising performance in function-level vulnerability detection, but their capability for statement-level vulnerability detection has not been extensively explored. While interpreting function-level predictions through explainable AI is one promising direction, we herein consider the statement-level software vulnerability detection task from a fully supervised learning perspective. We propose a novel deep learning framework, LineVD, which formulates statement-level vulnerability detection as a node classification task. LineVD leverages control and data dependencies between statements using graph neural networks, and a transformer-based model to encode the raw source code tokens. In particular, by addressing the conflicting outputs between function-level and statement-level information, LineVD significantly improve the prediction performance without vulnerability status for function code. We have conducted extensive experiments against a large-scale collection of real-world C/C++ vulnerabilities obtained from multiple real-world projects, and demonstrate an increase of 105% in F1-score over the current state-of-the-art.",,
