Vehicle Security: A Survey of Security Issues and Vulnerabilities, Malware Attacks and Defenses,,,
An Empirical Study on Detecting and Fixing Buffer Overflow Bugs,,,,
Vulnerability detection in recent Android apps: An empirical study,,,,
A survey and vital analysis of various state of the art solutions for web application security,,,,
An Empirical Study of Deep Learning Models for Vulnerability Detection,,,,
Runtime Verification of Crypto APIs: An Empirical Study,,,,
An Empirical Evaluation of the Effectiveness of Smart Contract Verification Tools,,,,
A Survey on Hardware Vulnerability Analysis Using Machine Learning,,,,
On Combining Diverse Static Analysis Tools for Web Security: An Empirical Study,,,,
Diversity-by-Design for Dependable and Secure Cyber-Physical Systems: A Survey,,,,
Survey of Security Protocols and Vulnerabilities in Unmanned Aerial Vehicles,,,,
Designing Secure IoT Systems: A Survey of Existing Approaches and Future Directions,,,,
A top web security vulnerability SQL injection attack — Survey,,,,
A Survey on Security and Challenges in Software-Defined Networking,,,,
A Survey of Binary Code Security Analysis,,,,
An Empirical Comparison on the Results of Different Clone Detection Setups for C-based Projects,,,,
An Empirical Study on the Effects of Entry Function Pairs in Fuzzing Smart Contracts,,,,
Empirical Analysis of System-Level Vulnerability Metrics through Actual Attacks,,,,
A Survey on Supervised Machine Learning in Intrusion Detection Systems for Internet of Things,,,,
Bug Characteristics in Blockchain Systems: A Large-Scale Empirical Study,,,,
An Empirical Analysis of Rebalancing Methods for Security Issue Report Identification,,,,
A taxonomy and survey of self-protecting software systems,,,,
A Survey on SQL Injection Attack: Detection and Challenges,,,,
A survey on cloud security threats using Deep learning algorithms,,,,
Plugins to Detect Vulnerable Plugins: An Empirical Assessment of the Security Scanner Plugins for WordPress,,,,
A Survey on Blockchain and Artificial Intelligence Technologies for Enhancing Security and Privacy in Smart Environments,,,,
Software-Defined Networking (SDN) and Distributed Denial of Service (DDoS) Attacks in Cloud Computing Environments: A Survey, Some Research Issues, and Challenges,,
A Survey on Contemporary Security Threats in Big Data and Information System,,,,
Relating the Empirical Foundations of Attack Generation and Vulnerability Discovery,,,,
Cybersecurity of Unmanned Aerial Vehicles: A Survey,,,,
A Survey on the Security Vulnerabilities in the Cyber-Physical Power Systems,,,,
Survey of Attacks and Defenses against SGX,,,,
IPsec/Firewall Security Policy Analysis: A Survey,,,,
A Survey on Cyber Security for Smart Grid Communications,,,,
Security Challenges in Cyber Physical System Communication Protocols: Empirical Analysis Based on Disclosed Vulnerabilities,,,,
Towards SDN and Blockchain based IoT Countermeasures: A Survey,,,,
SoK: A Survey on Redundant Execution Technology,,,,
A Survey of Techniques for Modeling and Improving Reliability of Computing Systems,,,,
Fast, Reliable, and Secure Drone Communication: A Comprehensive Survey,,
A Survey of Security Challenges, Attacks Taxonomy and Advanced Countermeasures in the Internet of Things,,,
A Survey on CAN Bus Protocol: Attacks, Challenges, and Potential Solutions,,
A Survey on Vehicle Security Systems: Approaches and Technologies,,,,
A Survey on Methods of Automatic Protocol Reverse Engineering,,,,
A Survey on the Current Security Landscape of Intelligent Transportation Systems,,,,
A survey on miscellaneous attacks in Hadoop framework,,,,
A survey of the smart city data security and privacy-preserving approaches in the Internet of Things,,,,
A Survey on Web Application Vulnerabilities (SQLIA, XSS) Exploitation and Security Engine for SQL Injection,,,
An Automation-Assisted Empirical Study on Lock Usage for Concurrent Programs,,,,
A Comprehensive Survey: Evaluating the Efficiency of Artificial Intelligence and Machine Learning Techniques on Cyber Security Solutions,,,,
Detection of Control Layer DDoS Attack using Entropy metrics in SDN: An Empirical Investigation,,,,
A survey on SQL injection attacks, detection and prevention techniques,,,
Surveying and Analyzing Security Problems in Cloud Computing Environments,,,,
A Survey of Secure Routing Protocols in Multi-Hop Cellular Networks,,,,
Survey of Security Advances in Smart Grid: A Data Driven Approach,,,,
Data-Driven Malware Detection for 6G Networks: A Survey From the Perspective of Continuous Learning and Explainability via Visualisation,,,,
Machine Learning for Software Vulnerability Detection: A Survey,,,,
Software Vulnerability Detection Using Deep Neural Networks: A Survey,,,,
Software Vulnerability Analysis and Discovery Using Deep Learning Techniques: A Survey,,,,
Shallow or Deep? An Empirical Study on Detecting Vulnerabilities using Deep Learning,,,,
An Empirical Study of High-Impact Factors for Machine Learning-Based Vulnerability Detection,,,,
A survey on cloud security threats using Deep learning algorithms,,,,
A Survey on Deep Learning-Based Source Code Defect Analysis,,,,
An Empirical Study of Deep Learning Models for Vulnerability Detection,,,,
A Comprehensive Survey: Evaluating the Efficiency of Artificial Intelligence and Machine Learning Techniques on Cyber Security Solutions,,,,
A Survey on Attack Detection Methods For IOT Using Machine Learning And Deep Learning,,,,
Assessing the Effectiveness of Vulnerability Detection via Prompt Tuning: An Empirical Study,,,,
A Survey on Hardware Vulnerability Analysis Using Machine Learning,,,,
A Survey on Machine Learning Techniques for Cyber Security in the Last Decade,,,,
Adversarial Black-Box Attacks Against Network Intrusion Detection Systems: A Survey,,,,
Unknown, Atypical and Polymorphic Network Intrusion Detection: A Systematic Survey,,,
Backdoor Attacks to Deep Neural Networks: A Survey of the Literature, Challenges, and Future Research Directions,,
Survey on Framework for Governing Modern Cyber Attacks in Computer Network,,,,
A Survey on Blockchain and Artificial Intelligence Technologies for Enhancing Security and Privacy in Smart Environments,,,,
A Brief Survey: Deep Reinforcement Learning in Mobile Robot Navigation,,,,
Empirical Investigation of Adversarial Attacks for Semi-Supervised Object Detection,,,,
Intrusion Detection Systems for Industrial Internet of Things: A Survey,,,,
A Survey of Machine and Deep Learning Methods for Internet of Things (IoT) Security,,,,
A Survey on Intrusion Detection System in Smart City: Security Concerns,,,,
Face Morphing Attack Generation and Detection: A Comprehensive Survey,,,,
Machine Learning-Based Fuzz Testing Techniques: A Survey,,,,
A Survey on IoT Intrusion Detection: Federated Learning, Game Theory, Social Psychology, and Explainable AI as Future Directions,
Zero-day Attack Solutions Using Threat Hunting Intelligence: Extensive Survey,,,,
A Survey on Securing Federated Learning: Analysis of Applications, Attacks, Challenges, and Trends,
Deep Generative Models in the Industrial Internet of Things: A Survey,,,,
A Survey of Using Process Data and Features of Industrial Control Systems in Intrusion Detection,,,,
Road Surface Defect Detection—From Image-Based to Non-Image-Based: A Survey,,,,
A Machine Learning-Based Survey Of Adversarial Attacks And Defenses In Malware Classification,,,,
Role of Device Identification and Manufacturer Usage Description in IoT Security: A Survey,,,,
Recent Security Challenges in Agriculture Applications in Smart Agriculture: A Survey,,,,
Surveying Cyber Threat Intelligence and Collaboration: A Concise Analysis of Current Landscape and Trends,,,,
An Empirical Study on API-Misuse Bugs in Open-Source C Programs,,,,
A Survey of Software Clone Detection From Security Perspective,,,,
"Detecting ""0-Day"" Vulnerability: An Empirical Study of Secret Security Patch in OSS",,,,
Security Vulnerabilities in Categories of Clones and Non-Cloned Code: An Empirical Study,,,,
Bug Characteristics in Blockchain Systems: A Large-Scale Empirical Study,,,,
A framework for a systematic survey of known software defects,,,,
Software Vulnerability Detection Using Deep Neural Networks: A Survey,,,,
Survey on Software Vulnerability Analysis Method Based on Machine Learning,,,,
An Empirical Study on Detecting and Fixing Buffer Overflow Bugs,,,,
The Secret Life of Software Vulnerabilities: A Large-Scale Empirical Study,,,,
Runtime Verification of Crypto APIs: An Empirical Study,,,,
A Comprehensive Survey of Voice over IP Security Research,,,,
An Empirical Study on Vulnerability Detection for Source Code Software based on Deep Learning,,,,
Vulnerability Dataset Construction Methods Applied To Vulnerability Detection: A Survey,,,,
Security Vulnerabilities in Categories of Clones and Non-Cloned Code: An Empirical Study,,,,
An Empirical Study of C++ Vulnerabilities in Crowd-Sourced Code Examples,,,,
Software Vulnerability Detection Using Deep Neural Networks: A Survey,,,,
Assessing the Effectiveness of Vulnerability Detection via Prompt Tuning: An Empirical Study,,,,
A Survey on Deep Learning-Based Source Code Defect Analysis,,,,
A survey of static code analysis methods for security vulnerabilities detection,,,,
Machine Learning to Combine Static Analysis Alerts with Software Metrics to Detect Security Vulnerabilities: An Empirical Study,,,,
"Detecting ""0-Day"" Vulnerability: An Empirical Study of Secret Security Patch in OSS",,,,
Navigating Web Application Security: A Survey of Vulnerabilities and Detection Solutions,,,,
Survey on Software Vulnerability Analysis Method Based on Machine Learning,,,,
The Secret Life of Software Vulnerabilities: A Large-Scale Empirical Study,,,,
A framework for a systematic survey of known software defects,,,,
A Survey of Exploitation and Detection Methods of XSS Vulnerabilities,,,,
Software Vulnerability Analysis and Discovery Using Deep Learning Techniques: A Survey,,,,
A Survey of Binary Code Security Analysis,,,,
Empirical Study of Software Composition Analysis Tools for C/C++ Binary Programs,,,,
Shallow or Deep? An Empirical Study on Detecting Vulnerabilities using Deep Learning,,,,
Machine Learning for Software Vulnerability Analysis: A Survey,,,,
An Empirical Study on API-Misuse Bugs in Open-Source C Programs,,,,
Static analysis approaches to detect SQL injection and cross site scripting vulnerabilities in web applications: A survey,,,,
An Empirical Study of High-Impact Factors for Machine Learning-Based Vulnerability Detection,,,,
An Empirical Comparison on the Results of Different Clone Detection Setups for C-based Projects,,,,
An Empirical Study of Impact of Solidity Compiler Updates on Vulnerabilities,,,,
A survey on SQL injection: Vulnerabilities, attacks, and prevention techniques,,
Runtime Verification of Crypto APIs: An Empirical Study,,,,
On Combining Diverse Static Analysis Tools for Web Security: An Empirical Study,,,,
An Empirical Study on Detecting and Fixing Buffer Overflow Bugs,,,,
Learning Program Semantics with Code Representations: An Empirical Study,,,,
A Survey on SQL Injection Attack: Detection and Challenges,,,,
A Survey of Secure Routing Protocols in Multi-Hop Cellular Networks,,,,
Bug Characteristics in Blockchain Systems: A Large-Scale Empirical Study,,,,
A Survey on Zero-Day Polymorphic Worm Detection Techniques,,,,
An Empirical Evaluation of the Effectiveness of Smart Contract Verification Tools,,,,
Data Leakage Vulnerability Assessment,,,,
Investigating the Vulnerability of Programmable Data Planes to Static Analysis-Guided Attacks,,,,
A Comprehensive Survey of Voice over IP Security Research,,,,
A Survey of Tools for Analyzing Ethereum Smart Contracts,,,,
IPv6 Neighbor Discovery Protocol Specifications, Threats and Countermeasures: A Survey,,,
A Survey of Honeypots and Honeynets for Internet of Things, Industrial Internet of Things, and Cyber-Physical Systems,,
An Automation-Assisted Empirical Study on Lock Usage for Concurrent Programs,,,,
A Machine Learning Based Approach to Detect Fault Injection Attacks in IoT Software Systems,,,,
On the detection and analysis of software security vulnerabilities,,,,
Analyzing Software Vulnerabilities Using Machine Learning,,,,
Finding Software Vulnerabilities by Smart Fuzzing,,,,
A context-sensitive approach for precise detection of cross-site scripting vulnerabilities,,,,
DCW-RNN: Improving Class Level Metrics for Software Vulnerability Detection Using Artificial Immune System with Clock-Work Recurrent Neural Network,,,,
Explainable Software vulnerability detection based on Attention-based Bidirectional Recurrent Neural Networks,,,,
Reentrancy Vulnerability Detection of Smart Contract Based on Bidirectional Sequential Neural Network with Hierarchical Attention Mechanism,,,,
Exploring the clustering of software vulnerability disclosure notifications across software vendors,,,,
A Mapping Study of Security Vulnerability Detection Approaches for Web Applications,,,,
A Crawler-Based Vulnerability Detection Method for Cross-Site Scripting Attacks,,,,
DsVD: An Effective Low-Overhead Dynamic Software Vulnerability Discoverer,,,,
Detecting Android Security Vulnerabilities Using Machine Learning and System Calls Analysis,,,,
Secure Codecity with Evolution: Visualizing Security Vulnerability Evolution of Software Systems,,,,
GeneticSecOps: Harnessing Heuristic Genetic Algorithms for Automated Security Testing and Vulnerability Detection in DevSecOps,,,,
Why Securing Your Code Architecture: Detection of Architectural Vulnerabilities in Industrial Products,,,,
VDDA: An Effective Software Vulnerability Detection Model Based on Deep Learning and Attention Mechanism,,,,
A Vulnerability Detection Model for Java Systems Based on Complex Networks,,,,
Convolutional Neural Network for Software Vulnerability Detection,,,,
A Method for Automatic Code Error Detection and Repair Based on Deep Learning,,,,
Software Vulnerability Detection Based on Code Coverage and Test Cost,,,,
Code-Based Vulnerability Detection in Node.js Applications: How far are we?,,,,
Secure Mobile Software Development with Vulnerability Detectors in Static Code Analysis,,,,
A Comparison of Nano-Patterns vs. Software Metrics in Vulnerability Prediction,,,,
Impact of Centrality on Automated Vulnerability Detection Using Convolutional Neural Network,,,,
Comparison of Active Vulnerability Scanning vs. Passive Vulnerability Detection,,,,
Software Vulnerability Detection via Doc2vec with path representations,,,,
TS-GGNN: Combining Graph and Sequence Features for Vulnerability Detection in Source Code,,,,
Survey on Software Vulnerability Analysis Method Based on Machine Learning,,,,
A Personalized Learning Framework for Software Vulnerability Detection and Education,,,,
Software Vulnerability Assessment: Vendor, Scanner, and User Analysis,,
Vulnerability Assessment & Analysis of Software-Defined Networking using a Virtual Testbed,,,,
Automated Software Vulnerability Detection via Curriculum Learning,,,,
Study on Countermeasures Using Mitigation Software against Vulnerability Attacks,,,,
Data Quality for Software Vulnerability Datasets,,,,
A Web Second-Order Vulnerabilities Detection Method,,,,
VulDeCRG: A Vulnerability Detection System based on Code Representation Graph,,,,
Understanding Software Security Vulnerabilities in Cloud Server Systems,,,,
JIID: Java input injection detector for pre-deployment vulnerability detection,,,,
SV-AF — A Security Vulnerability Analysis Framework,,,,
Research and Practical Exploration of Mobile Application Software Security Detection Technology,,,,
Vulnerability Detection is Just the Beginning,,,,
VulScan: A Vulnerability Detection Model Based on Deep Learning,,,,
A Symbolic Execution-Based Approach for Smart Contract Vulnerability Detection,,,,
Human-in-the-Loop XAI-enabled Vulnerability Detection, Investigation, and Mitigation,,
On Building a Vulnerability Dataset with Static Information from the Source Code,,,,
Examining the Relationship of Code and Architectural Smells with Software Vulnerabilities,,,,
xVDB: A High-Coverage Approach for Constructing a Vulnerability Database,,,,
Platform of the Web vulnerability detection Based on Natural Language Processing,,,,
CVulDetector: Cross-domain Vulnerability Detection Based on Transfer Learning,,,,
Open Science in Software Engineering: A Study on Deep Learning-Based Vulnerability Detection,,,,
Prediction of Software Security Vulnerabilities from Source Code Using Machine Learning Methods,,,,
Data mining for web vulnerability detection: A critical review,,,,
Vulnerability Detection of Android System in Fuzzing Cloud,,,,
DeepBalance: Deep-Learning and Fuzzy Oversampling for Vulnerability Detection,,,,
The Application of Fuzzing in Web Software Security Vulnerabilities Test,,,,
Critical Understanding of Security Vulnerability Detection Plugin Evaluation Reports,,,,
Performance Comparison on SQL Injection and XSS Detection using Open Source Vulnerability Scanners,,,,
Characterizing Buffer Overflow Vulnerabilities in Large C/C++ Projects,,,,
Plumber: Boosting the Propagation of Vulnerability Fixes in the npm Ecosystem,,,,
Vulnerability Detection in IoT Firmware: A Survey,,,,
Graph-based Vulnerability Detection via Extracting Features from Sliced Code,,,,
Boosting Symbolic Execution for Heap-based Vulnerability Detection and Exploit Generation,,,,
Mining Bug Databases for Unidentified Software Vulnerabilities,,,,
Smart Contract Vulnerability Detection based on Abstract Syntax Tree,,,,
Finding A Needle in a Haystack: Automated Mining of Silent Vulnerability Fixes,,,,
Statically detect invalid pointer dereference vulnerabilities in binary software,,,,
Cyber Vulnerability Intelligence for Internet of Things Binary,,,,
Strategies for Pattern-Based Detection of Architecturally-Relevant Software Vulnerabilities,,,,
Analysis and study of IDSs for cybersecurity vulnerability detection and prevention: A Comprehensive Review,,,,
AI Techniques for Software Vulnerability Detection and Mitigation,,,,
Vulnerability Detection Algorithm of Lightweight Linux Internet of Things Application with Symbolic Execution Method,,,,
Research on Nondestructive Vulnerability Detection Technology of Power Industrial Control System,,,,
Software Vulnerability Detection Using Backward Trace Analysis and Symbolic Execution,,,,
Mining input sanitization patterns for predicting SQL injection and cross site scripting vulnerabilities,,,,
Review on Applications of Knowledge Graph in Software Development,,,,
Software Vulnerability Discovery via Learning Multi-Domain Knowledge Bases,,,,
Enhancing Network Security by Software Vulnerability Detection Using Social Media Analysis Extended Abstract,,,,
Machine Learning based Theoretical Framework for Failure Prediction, Detection, and Correction of Mission-Critical Flight Software,,
VulDefend: A Novel Technique based on Pattern-exploiting Training for Detecting Software Vulnerabilities Using Language Models,,,,
Optimizing Pre-trained Language Models for Efficient Vulnerability Detection in Code Snippets,,,,
Detection of Vulnerabilities of Blockchain Smart Contracts,,,,
On the Use of Fine-grained Vulnerable Code Statements for Software Vulnerability Assessment Models,,,,
Dirmap: Web Application Vulnerability Detection Platform Based on Script Code,,,,
An approach to minimize false positive in SQLI vulnerabilities detection techniques through data mining,,,,
An Investigation of Quality Issues in Vulnerability Detection Datasets,,,,
An Intelligent Security Detection and Response Scheme Based on SBOM for Securing IoT Terminal devices,,,,
Siguard: Detecting Signature-Related Vulnerabilities in Smart Contracts,,,,
Research on Vulnerability Exploitation and Detection Technology Based on Big Data Analysis,,,,
Source Code Vulnerability Detection Based On SAR-GIN,,,,
Evaluating micro patterns and software metrics in vulnerability prediction,,,,
Vulnerability Detection for Source Code Using Contextual LSTM,,,,
SySeVR: A Framework for Using Deep Learning to Detect Software Vulnerabilities,,,,
Experience Report: Study of Vulnerabilities of Enterprise Operating Systems,,,,
Change Point Problem in Security Vulnerability Discovery Model,,,,
Tenet: A Flexible Framework for Machine-Learning-based Vulnerability Detection,,,,
Vulnerability Detection System Based on Taint Range Propagation Analysis,,,,
Vulnerability detection with deep learning,,,,
Design and Implementation of System of the Web Vulnerability Detection Based on Crawler and Natural Language Processing,,,,
Combining software interrelationship data across heterogeneous software repositories,,,,
Security Bug Report Usage for Software Vulnerability Research: A Systematic Mapping Study,,,,
Research on the Quality of Automotive Electronic Software Based on Code Checking,,,,
VDBWGDL: Vulnerability Detection Based On Weight Graph And Deep Learning,,,,
Representation vs. Model: What Matters Most for Source Code Vulnerability Detection,,,,
Vulnerability Detection and Monitoring Using LLM,,,,
Enterprise-Driven Open Source Software: A Case Study on Security Automation,,,,
BBregLocator: A Vulnerability Detection System Based on Bounding Box Regression,,,,
The Extent of Orphan Vulnerabilities from Code Reuse in Open Source Software,,,,
A Brief Review on Deep Learning Based Software Vulnerability Detection,,,,
Accelerating High-Precision Vulnerability Detection in C Programs with Parallel Graph Summarization,,,,
A New Detection Method for Stack Overflow Vulnerability Based on Component Binary Code for Third-Party Component,,,,
Efficient Software Vulnerability Detection with Minimal Data Size in 5G-IoT,,,,
Evaluating Complexity, Code Churn, and Developer Activity Metrics as Indicators of Software Vulnerabilities,,
PSCVFinder: A Prompt-Tuning Based Framework for Smart Contract Vulnerability Detection,,,,
An Enhanced Vulnerability Detection in Software Using a Heterogeneous Encoding Ensemble,,,,
Deep Learning for Software Vulnerabilities Detection Using Code Metrics,,,,
An Optimized Static Propositional Function Model to Detect Software Vulnerability,,,,
Locating Buffer Overflow Vulnerabilities Based on Sensitive Functions,,,,
MANDO: Multi-Level Heterogeneous Graph Embeddings for Fine-Grained Detection of Smart Contract Vulnerabilities,,,,
Big Data Technology Application in Software Security Vulnerability Analysis,,,,
A Smart Contract Vulnerability Detection Model Based on Multi-Type Features and Pre-Training Techniques,,,,
Software Vulnerability Detection Using Informed Code Graph Pruning,,,,
Software Vulnerability Detection Method Based on the Lexical and Syntax Analysis,,,,
Secure Software Developing Recommendations,,,,
Software Side Channel Vulnerability Detection Based on Similarity Calculation and Deep Learning,,,,
Binary vulnerability mining technology based on neural network feature fusion,,,,
When Do Changes Induce Software Vulnerabilities?,,,,
Developer’s Roadmap to Design Software Vulnerability Detection Model Using Different AI Approaches,,,,
The SWC-based Security Analysis Tool for Smart Contract Vulnerability Detection,,,,
Software vulnerability detection using genetic algorithm and dynamic taint analysis,,,,
A Deep Learning-based Approach for an Automated Vulnerability Detection in Source Code,,,,
A formalization-based vulnerability detection method for cross-subject network components,,,,
$\mu$μVulDeePecker: A Deep Learning-Based System for Multiclass Vulnerability Detection,,,,
Deep Learning Based Vulnerability Detection: Are We There Yet?,,,,
AVDHRAM: Automated Vulnerability Detection based on Hierarchical Representation and Attention Mechanism,,,,
Coverage Metrics and Detection of Injection Vulnerabilities: An Experimental Study,,,,
Software Vulnerabilities Detection in Agile Process using graph method and Deep Neural Network,,,,
A Comparative Performance Analysis of Vulnerability Detection Schemes for Specific Blockchain Applications,,,,
Agent-based ZeroLogon Vulnerability Detection,,,,
Advancing Blockchain Security: from Vulnerability Detection to Transaction Revocation,,,,
Improving vulnerability prediction accuracy with Secure Coding Standard violation measures,,,,
Evolution of Software Testing Strategies and Trends: Semantic Content Analysis of Software Research Corpus of the Last 40 Years,,,,
Feature Extraction Method for Cross-Architecture Binary Vulnerability Detection,,,,
DeepVD: Toward Class-Separation Features for Neural Network Vulnerability Detection,,,,
Vulnerability Analysis through Interface-based Checker Design,,,,
Can Deep Learning Models Learn the Vulnerable Patterns for Vulnerability Detection?,,,,
Detecting Software Security Vulnerabilities Via Requirements Dependency Analysis,,,,
Software Vulnerability Mining Technology of Shipbuilding Industry based on Dynamic Binary Code Analysis,,,,
Shock Trap: An active defense architecture based on trap vulnerabilities,,,,
Source Code Vulnerabilities Detection Using Loosely Coupled Data and Control Flows,,,,
When Less is Enough: Positive and Unlabeled Learning Model for Vulnerability Detection,,,,
Extended Abstract of Combine Sliced Joint Graph with Graph Neural Networks for Smart Contract Vulnerability Detection,,,,
Vulnerability Detection with Graph Simplification and Enhanced Graph Representation Learning,,,,
Vulnerability Analysis and Modeling,,,,
PatchDiscovery: Patch Presence Test for Identifying Binary Vulnerabilities Based on Key Basic Blocks,,,,
Research on Mobile Application Local Denial of Service Vulnerability Detection Technology Based on Rule Matching,,,,
An Intelligent Communication Warning Vulnerability Detection Algorithm Based on IoT Technology,,,,
A Preliminary Conceptualization and Analysis on Automated Static Analysis Tools for Vulnerability Detection in Android Apps,,,,
Research on Detection Method of Wireless Communication Network Security Vulnerability Based on Sequence Model,,,,
Software Ingredients: Detection of Third-Party Component Reuse in Java Software Release,,,,
Project Achilles: A Prototype Tool for Static Method-Level Vulnerability Detection of Java Source Code Using a Recurrent Neural Network,,,,
Detecting Security Vulnerabilities with Vulnerability Nets,,,,
Security Vulnerability and Mitigation in Photovoltaic Systems,,,,
Why Don’t Developers Detect Improper Input Validation? ', DROP TABLE Papers, --,,
Beware of the Vulnerability! How Vulnerable are GitHub's Most Popular PHP Applications?,,,,
A proposed framework for proactive vulnerability assessments in cloud deployments,,,,
Network risk evaluation from security metric of vulnerability detection tools,,,,
A Hierarchical Deep Neural Network for Detecting Lines of Codes with Vulnerabilities,,,,
Function-Level Vulnerability Detection Through Fusing Multi-Modal Knowledge,,,,
Vulnerability Scanning Tool for Software-Define Network Controller,,,,
Research and Application of Vulnerability Detection Technology for Power Grid Intelligent Terminal Protocol Based on High Order Attribute Grammar,,,,
A Firmware Vulnerability Detection Method Based on Feature Filtering,,,,
Cyber Security Vulnerability Detection Using Natural Language Processing,,,,
VulMiningBGS: Detection of overflow vulnerabilities based on graph similarity,,,,
A program vulnerabilities detection frame by static code analysis and model checking,,,,
Vulnerability Detection in Popular Android Applications,,,,
A Parallel Vulnerability Detection Framework via MPI,,,,
On the Metrics for Benchmarking Vulnerability Detection Tools,,,,
Vulnerable Code Detection Using Software Metrics and Machine Learning,,,,
Program Slice Based Vulnerable Code Clone Detection,,,,
Smart Contract Vulnerability Detection Based on TextCNN and Attention Mechanism,,,,
WANA: Symbolic Execution of Wasm Bytecode for Extensible Smart Contract Vulnerability Detection,,,,
Detecting software vulnerabilities in android using static analysis,,,,
Non-operational testing of software for security issues,,,,
Directed symbolic execution for binary vulnerability mining,,,,
LLM-based Vulnerability Detection,,,,
MVD: Memory-Related Vulnerability Detection Based on Flow-Sensitive Graph Neural Networks,,,,
LineVD: Statement-level Vulnerability Detection using Graph Neural Networks,,,,
Generic Approach for Security Error Detection Based on Learned System Behavior Models for Automated Security Tests,,,,
VulDeBERT: A Vulnerability Detection System Using BERT,,,,
Evaluating Ethereum Reentrancy Detection Tools via Mutation Testing,,,,
DroidPatrol: A Static Analysis Plugin For Secure Mobile Software Development,,,,
Vulnerability Detection and Security Enhancing Using XAMPP, OWASP and DVWA,,,
Towards Better Utilizing Static Application Security Testing,,,,
Which2learn: A Vulnerability Dataset Complexity Measurement Method for Data-Driven Detectors,,,,
SCGRU: A Model for Ethereum Smart Contract Vulnerability Detection Combining CNN and BiGRU-Attention,,,,
